item,calories,fat_g,carb_g,fiber_g,protein_g
Strawberries & Creme (Without Whipped Cream),170,1.5,135,1,3
Strawberries & Creme (Without Whipped Cream),190,3,140,0,3
Strawberries & Creme (Without Whipped Cream),230,0.2,190,0,4
Strawberries & Creme (Without Whipped Cream),240,2,180,1,3
Strawberries & Creme (Without Whipped Cream),260,4,190,0,4
Strawberries & Creme (Without Whipped Cream),310,0.2,260,0,6
Strawberries & Creme (Without Whipped Cream),320,3.2,250,1,5
Strawberries & Creme (Without Whipped Cream),350,6,260,0,6
Strawberries & Jam Sandwich,600,25,80,10,19
Strawberry Banana Smoothie,290,1,125,7,16
Strawberry Banana Smoothie,290,2,120,8,16
Strawberry Banana Smoothie,290,2,125,7,16
Strawberry Cake Pop,180,9,23,0,2
Tazo Chai Tea Latte,100,0.1,50,0,4
Tazo Chai Tea Latte,110,1.5,45,0,3
Tazo Chai Tea Latte,120,2,55,0,4
Tazo Chai Tea Latte,160,0.2,80,0,6
Tazo Chai Tea Latte,160,2.5,70,1,5
Tazo Chai Tea Latte,190,3.5,90,0,6
Tazo Chai Tea Latte,210,0.2,105,0,8
Tazo Chai Tea Latte,220,3.5,90,1,6
Tazo Chai Tea Latte,240,4.5,115,0,8
Tazo Chai Tea Latte,260,0.3,135,0,10
Tazo Chai Tea Latte,280,4.5,115,1,8
Tazo Chai Tea Latte,310,6,150,0,10
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),80,0.1,45,0,4
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),80,1.5,40,0,3
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),90,2,50,0,3
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),120,0.1,65,0,5
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),130,2.5,60,1,4
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),140,3,75,0,5
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),150,0.2,85,0,7
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),170,3.5,80,1,6
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),190,0.2,110,0,9
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),190,4,95,0,7
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),210,4,100,1,7
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),230,5,125,0,9
Tazo Full-Leaf Tea Latte,80,0.1,45,0,4
Tazo Full-Leaf Tea Latte,80,1.5,40,0,3
Tazo Full-Leaf Tea Latte,90,2,50,0,3
Tazo Full-Leaf Tea Latte,120,0.1,65,0,5
Tazo Full-Leaf Tea Latte,130,2.5,60,1,4
Tazo Full-Leaf Tea Latte,140,3,75,0,5
Tazo Full-Leaf Tea Latte,150,0.2,85,0,7
Tazo Full-Leaf Tea Latte,170,3.5,80,1,6
Tazo Full-Leaf Tea Latte,190,0.2,110,0,9
Tazo Full-Leaf Tea Latte,190,4,95,0,7
Tazo Full-Leaf Tea Latte,210,4,100,1,7
Tazo Full-Leaf Tea Latte,230,5,125,0,9
Tazo Green Tea Latte,130,0.2,85,0,7
Tazo Green Tea Latte,140,3,70,1,6
Tazo Green Tea Latte,170,4,95,0,7
Tazo Green Tea Latte,210,0.4,125,1,11
Tazo Green Tea Latte,230,4.5,110,2,9
Tazo Green Tea Latte,260,6,140,1,10
Tazo Green Tea Latte,290,0.5,160,1,14
Tazo Green Tea Latte,310,6,140,3,11
Tazo Green Tea Latte,350,8,180,1,14
Tazo Green Tea Latte,370,0.5,200,2,18
Tazo Green Tea Latte,390,8,180,4,14
