category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Medium",890,31,147,0,8,139,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Small",630,22,103,0,6,97,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Large",880,5,195,0,12,185,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Medium",680,5,150,0,9,142,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Small",490,4.5,105,0,6,99,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Large",930,11,195,0,11,185,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Medium",720,9,150,0,9,142,Dunkin Donuts
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Small",510,8,105,0,6,98,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Large",1120,40,180,0,10,172,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Medium",860,31,139,0,8,132,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Small",610,22,97,0,6,92,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Large",830,5,184,0,11,176,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Medium",650,4.5,142,0,9,135,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Small",470,4.5,99,0,6,94,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Large",880,11,184,0,11,175,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Medium",680,9,141,0,8,134,Dunkin Donuts
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Small",490,8,99,0,6,94,Dunkin Donuts
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Large",1110,40,180,0,10,169,Dunkin Donuts
