category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size,milk_type
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Small",240,0,0,0,0,50,55,1,54,4,290,drink,small,skim
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Large",530,6,3.5,0,20,95,110,2,109,8,634.5,drink,large,whole
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Medium",390,4.5,2.5,0,15,75,83,1,81,6,467.5,drink,medium,whole
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Small",260,3,1.5,0,10,50,55,1,54,4,311.5,drink,small,whole
Hot Americano,"Americano, Large",10,0,0,0,0,30,2,0,0,0,10,drink,large,not applicable
Hot Americano,"Americano, Medium",10,0,0,0,0,25,2,0,0,0,10,drink,medium,not applicable
Hot Americano,"Americano, Small",5,0,0,0,0,15,1,0,0,0,5,drink,small,not applicable
Hot Cappuccino,"Cappuccino with Skim Milk, Large",90,0,0,0,NA,115,13,0,12,8,94,drink,large,skim
Hot Cappuccino,"Cappuccino with Skim Milk, Medium",70,0,0,0,NA,85,10,0,9,6,73,drink,medium,skim
Hot Cappuccino,"Cappuccino with Skim Milk, Small",45,0,0,0,0,55,7,0,6,4,47,drink,small,skim
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Large",230,0,0,0,NA,115,48,0,47,8,269,drink,large,skim
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Medium",170,0,0,0,NA,85,36,0,35,6,199,drink,medium,skim
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Small",110,0,0,0,0,55,24,0,23,4,129,drink,small,skim
Hot Cappuccino,"Cappuccino with Whole Milk, Large",160,8,4.5,0,25,115,13,0,12,8,168.5,drink,large,whole
Hot Cappuccino,"Cappuccino with Whole Milk, Medium",120,6,3.5,0,20,85,10,0,9,6,126.5,drink,medium,whole
Hot Cappuccino,"Cappuccino with Whole Milk, Small",80,4,2.5,0,10,60,7,0,6,4,84.5,drink,small,whole
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Large",290,8,4.5,0,25,115,48,0,46,8,332.5,drink,large,whole
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Medium",220,6,3.5,0,20,85,36,0,35,6,252.5,drink,medium,whole
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Small",150,4,2.5,0,10,60,24,0,23,4,171.5,drink,small,whole
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,180,65,0,63,11,362,drink,large,skim
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,135,49,0,47,8,269,drink,medium,skim
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Small",160,0,0,0,NA,90,33,0,32,6,186,drink,small,skim
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Large",380,8,4.5,0,30,180,65,0,63,11,436.5,drink,large,whole
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,135,48,0,47,8,322.5,drink,medium,whole
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,90,32,0,31,5,218.5,drink,small,whole
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,170,65,0,61,11,360,drink,large,skim
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,130,48,0,46,8,268,drink,medium,skim
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,NA,85,32,0,30,5,175,drink,small,skim
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,30,170,64,0,60,10,424.5,drink,large,whole
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,130,48,0,45,8,320.5,drink,medium,whole
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,85,32,0,30,5,217.5,drink,small,whole
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,170,65,0,61,11,360,drink,large,skim
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,NA,130,49,0,46,8,268,drink,medium,skim
