category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size
Sandwiches,"Ham, Egg and Cheese on Croissant",530,32,13,0,190,900,40,1,6,19,530,food,not applicable
Sandwiches,"Ham, Egg and Cheese on English Muffin",370,15,5,0,190,910,39,1,4,19,360,food,not applicable
Sandwiches,"Ham, Egg and Cheese Wake-Up Wrap",190,11,4,0,100,600,15,0,1,9,186,food,not applicable
Sandwiches,Ham and Cheese Rollups,280,13,6,0,40,1050,27,1,2,13,275,food,not applicable
Sandwiches,Power Breakfast Sandwich,420,23,8,0,60,980,28,5,5,25,408,food,not applicable
Sandwiches,"Sausage, Egg and Cheese on a Plain Bagel",680,34,12,0,220,1500,68,5,8,26,674,food,not applicable
Sandwiches,"Sausage, Egg and Cheese on Croissant",720,52,20,0,220,1120,42,2,6,21,725,food,not applicable
Sandwiches,"Sausage, Egg and Cheese on English Muffin",560,35,12,0,220,1140,40,2,4,21,555,food,not applicable
Sandwiches,"Sausage, Egg and Cheese Wake-Up Wrap",290,21,8,0,120,710,15,1,1,10,289,food,not applicable
Sandwiches,Sausage Biscuit (Regional),490,34,16,0,45,1120,32,1,2,13,495,food,not applicable
Sandwiches,Spam Breakfast Sandwich,630,42,17,0,200,1210,41,1,6,20,633,food,not applicable
Sandwiches,Turkey Sausage Sandwich on English Muffin,460,22,7,0,240,1120,39,1,4,26,445,food,not applicable
Sandwiches,Veggie Egg White Sandwich on a Multigrain Thin,290,13,5,0,20,550,27,5,4,17,282,food,not applicable
Sandwiches,Sweet Black Pepper Bacon Sandwich,650,41,17,0,205,850,46,1,11,23,655,food,not applicable
Sandwiches,Sweet Black Pepper Bacon Wake-Up Wrap,260,16,7,0,110,490,17,0,3,12,258,food,not applicable
Sandwiches,Sweet Black Pepper Snacking Bacon,190,12,4.5,0,35,500,10,0,9,10,193.5,food,not applicable
Sandwiches,Cinnamon Raisin Bagel,320,1,0,0,0,510,67,4,13,11,322,food,not applicable
Sandwiches,Everything Bagel,340,3,0.5,0,0,630,67,5,8,12,336.5,food,not applicable
Sandwiches,Multigrain Bagel,380,8,1,0,0,550,63,8,8,15,374,food,not applicable
Sandwiches,Plain Bagel,300,1,0,0,0,620,64,4,7,11,296,food,not applicable
Sandwiches,Sesame Seed Bagel,350,5,1,0,0,630,64,5,7,12,346,food,not applicable
Sandwiches,White Cheddar Bagel Twist,390,8,4.5,0,20,760,64,4,7,16,385.5,food,not applicable
Sandwiches,Kosher Sweet Black Pepper Bacon Sandwich,670,43,16,0,185,970,49,2,11,21,676,food,not applicable
Sandwiches,Kosher Sweet Black Pepper Bacon Wake-Up Wrap,280,17,7,0,105,580,19,1,3,12,278,food,not applicable
Sandwiches,Kosher Veggie Egg White Sandwich on a Multigrain Thin,290,13,5,0,20,550,27,5,4,17,282,food,not applicable
Sandwiches,Bacon and Cheese Rollups,370,22,9,0,55,1160,28,1,3,16,366,food,not applicable
Sandwiches,Ham and Cheese Rollups,280,13,6,0,40,1050,27,1,2,13,275,food,not applicable
Sandwiches,Classic Plain Cream Cheese Spread,120,12,8,0,40,200,3,0,3,2,129,food,not applicable
Sandwiches,Garden Veggie Cream Cheese Spread,100,10,6,0,35,200,2,0,1,2,105,food,not applicable
Sandwiches,Strawberry Cream Cheese Spread,130,10,6,0,30,100,9,0,8,2,142,food,not applicable
Sandwiches,Egg and Cheese DD Smart Wake-Up Wrap,180,10,4,0,95,470,14,0,1,7,178,food,not applicable
Sandwiches,"Ham, Egg and Cheese DD Smart Wake-Up Wrap",190,11,4,0,100,600,15,0,1,9,186,food,not applicable
Sandwiches,Turkey Sausage DD Smart Wake Up Wrap,240,14,5,0,125,700,15,0,1,13,233,food,not applicable
Sandwiches,Turkey Sausage Wake Up Wrap,240,15,6,0,115,680,15,0,1,11,236,food,not applicable
Sandwiches,Veggie Egg White DD Smart Wake-Up Wrap,150,7,3,0,20,490,15,1,1,7,147,food,not applicable
Sandwiches,Veggie Egg White Wake-Up Wrap,190,10,4.5,0,20,390,15,1,1,9,186.5,food,not applicable
Soft Serve,"Extra Thick Shake, Chocolate",610,20,13,0.5,70,320,92,3,85,19,689,food,not applicable
Soft Serve,"Extra Thick Shake, Coffee",460,19,12,0.5,70,310,55,1,51,18,505,food,not applicable
Soft Serve,"Extra Thick Shake, Vanilla",450,19,12,0.5,70,300,54,1,51,18,495,food,not applicable
Soft Serve,Frozen Coffee Float,360,15,9,0.5,55,170,50,1,47,8,408,food,not applicable
Soft Serve,M&M Mix-In,650,27,17,0.5,60,270,88,3,82,16,733,food,not applicable
Soft Serve,OREO Mix-In,510,21,11,0.5,55,350,70,2,55,14,562,food,not applicable
Soft Serve,Soft Serve Cone,260,9,6,0,35,160,35,1,27,9,284,food,not applicable
Soft Serve,Strawberry Coolatta Float,420,12,8,0,50,210,68,1,64,11,481,food,not applicable
Hash Browns,Hash Browns,130,6,1,0,0,420,12,2,0,5,126,food,not applicable
